1000 56725
807 385 1
506 978 3
898 527 6
905 746 3
326 481 4
960 257 5
781 979 3
681 312 1
981 748 3
812 596 9
865 622 2
21 969 7
203 647 10
777 858 3
804 661 4
301 343 7
611 758 6
705 929 6
311 471 9
200 757 2
103 382 4
811 762 6
909 780 4
516 362 4
65 437 3
819 709 1
234 471 8
996 439 9
380 734 8
431 505 4
27 103 3
637 566 9
476 598 8
486 680 9
496 482 7
527 817 6
329 809 6
518 60 4
99 257 4
837 946 6
2 486 4
247 288 2
94 568 5
154 439 4
400 608 8
310 529 3
890 566 6
452 697 2
801 139 8
381 914 7
188 638 2
637 967 10
134 899 10
19 63 3
537 594 4
302 322 2
871 289 5
239 584 3
52 636 1
235 532 5
593 27 9
363 933 8
989 413 5
845 353 7
317 28 10
694 390 7
406 887 4
821 328 7
674 581 7
523 734 7
834 169 5
498 859 7
575 498 5
60 976 4
294 508 6
760 362 8
423 25 4
268 723 8
566 701 5
120 896 1
75 185 9
364 231 9
118 379 4
158 557 4
164 433 5
822 692 1
570 241 4
328 788 6
132 965 4
128 188 9
871 264 1
71 781 6
577 922 2
245 413 10
293 876 10
958 352 5
269 668 7
599 705 9
745 450 3
6 371 4
673 370 3
40 820 6
118 752 2
182 443 1
925 432 8
77 290 7
600 490 2
500 702 2
581 947 9
522 207 7
703 148 2
284 440 4
639 83 3
102 368 2
235 474 1
570 170 4
897 290 4
601 776 6
43 389 6
115 349 5
270 267 9
678 384 5
536 568 1
134 334 7
776 674 10
629 1000 9
158 347 5
421 253 9
175 170 6
241 20 2
998 401 2
942 488 5
904 830 2
652 755 10
931 158 2
820 935 6
942 632 9
809 239 3
390 282 5
551 894 1
116 817 4
559 949 4
775 348 6
823 780 9
207 220 7
875 1 2
743 261 6
484 942 10
976 369 3
346 862 2
766 340 7
581 283 10
747 734 1
195 101 10
515 854 7
191 995 1
170 668 1
835 583 4
906 144 3
529 856 5
282 956 3
156 824 6
999 465 5
647 300 5
774 429 8
37 300 6
908 51 8
352 553 4
799 892 2
357 900 10
856 379 5
834 770 2
672 518 8
317 953 7
331 492 5
323 37 5
625 227 9
276 122 3
536 485 2
844 30 4
35 60 9
535 999 2
827 724 4
662 826 8
822 814 5
468 70 5
765 421 5
916 326 7
564 383 7
217 897 8
361 955 4
608 672 4
878 800 4
434 573 7
734 629 10
172 799 10
26 378 3
676 571 8
597 926 2
411 819 8
181 43 7
320 546 2
114 11 5
735 913 8
196 992 9
518 81 4
928 459 5
534 384 9
700 240 6
905 183 8
625 163 5
737 998 1
480 150 8
713 751 7
459 568 7
790 276 5
123 146 9
247 655 2
642 349 1
476 155 9
708 845 9
647 638 3
222 822 2
762 197 6
935 693 9
588 574 7
554 342 3
406 61 5
570 647 6
297 831 9
488 4 7
147 697 7
397 118 10
620 59 1
505 154 5
581 77 3
561 352 9
532 202 4
765 230 10
852 317 7
270 312 8
91 384 9
492 531 4
561 570 9
623 486 3
223 906 10
445 732 10
111 514 3
510 330 3
728 27 4
639 139 1
13 151 4
552 513 5
699 899 1
766 807 3
697 869 9
944 58 2
773 102 10
774 733 9
141 441 3
23 478 4
812 239 7
917 310 5
65 338 5
982 710 6
898 491 6
789 100 5
922 514 3
957 583 1
570 702 6
446 203 2
184 617 2
53 958 4
444 387 4
686 949 9
299 141 3
530 583 8
166 635 1
218 560 7
175 614 10
243 676 3
305 133 6
339 875 6
774 271 1
874 402 4
56 553 9
712 950 5
458 559 7
145 978 5
562 192 2
265 407 6
481 692 9
858 886 4
538 58 8
85 94 3
715 978 2
281 672 8
610 368 1
717 395 2
514 900 3
15 466 3
364 531 5
209 727 8
841 383 9
939 276 6
578 661 2
143 567 3
458 924 2
756 200 7
764 50 3
43 685 10
604 720 10
464 796 10
701 598 4
559 943 5
183 710 10
243 181 3
917 944 7
806 680 2
697 363 6
33 517 8
238 647 2
400 234 5
317 91 8
89 55 9
407 866 5
215 925 10
107 359 7
354 358 5
830 144 3
807 609 6
389 48 8
397 753 10
463 492 5
196 987 10
563 132 5
887 943 1
659 300 7
565 435 8
61 849 3
485 939 9
771 649 9
595 110 9
305 284 3
803 526 8
857 426 2
939 569 10
2 254 6
485 244 6
633 42 6
298 651 3
763 791 7
740 145 2
462 832 2
579 385 7
280 60 4
757 98 6
75 465 1
936 473 5
681 789 5
44 635 9
851 610 10
585 881 3
517 774 7
945 39 4
437 47 7
789 271 5
661 779 9
722 157 3
304 926 8
749 829 6
238 427 10
760 643 8
691 304 6
812 37 1
469 27 8
932 781 2
578 288 7
776 739 1
584 375 7
261 555 5
598 760 4
680 480 4
566 142 1
405 696 10
883 179 5
261 647 5
720 472 10
993 510 3
659 969 9
650 230 2
290 347 5
784 530 10
71 459 1
495 911 10
814 571 7
453 192 4
969 322 6
379 5 10
233 246 3
803 873 2
951 32 6
886 508 3
4 696 10
389 733 9
721 122 8
506 200 2
179 123 5
872 238 6
193 614 6
43 322 8
188 352 1
497 137 9
687 301 5
531 951 8
196 717 1
575 813 6
254 106 8
346 320 2
996 173 2
986 238 1
603 388 5
53 400 1
183 475 2
839 746 7
324 39 9
297 550 2
766 572 6
73 108 1
945 23 4
813 185 1
50 707 2
260 82 4
614 454 8
818 303 2
985 616 1
180 36 9
915 805 6
298 907 9
275 136 2
681 122 2
444 215 7
770 918 10
871 442 3
935 48 9
756 803 4
6 788 8
371 201 3
92 518 9
851 756 5
338 144 8
584 398 10
101 325 10
914 821 4
242 744 3
83 224 8
533 663 9
214 382 3
767 785 3
608 334 10
184 459 8
125 977 7
611 564 2
102 357 6
554 905 2
118 210 2
52 884 8
680 871 5
841 307 5
890 585 1
566 159 10
347 343 8
561 23 9
473 860 10
463 837 9
73 160 10
147 806 4
271 89 7
836 176 10
348 436 9
118 801 2
486 546 1
633 17 1
343 316 1
279 62 4
417 122 5
883 157 4
480 561 5
349 456 4
200 23 5
43 378 5
829 868 10
955 697 3
89 778 7
395 200 5
294 817 6
934 779 2
129 242 6
14 300 9
281 864 8
381 246 4
870 736 10
133 472 4
647 773 1
478 141 4
781 911 2
551 387 2
30 412 6
938 74 8
642 863 3
6 233 1
858 412 3
325 421 7
197 902 8
410 697 1
124 343 6
871 243 5
346 572 2
196 385 4
146 917 9
800 820 1
98 853 9
573 990 3
976 357 1
864 926 9
773 178 4
928 722 9
445 4 7
645 49 9
4 296 3
48 866 5
666 467 1
764 366 9
65 34 5
280 391 3
40 461 4
568 813 3
392 518 4
151 268 7
566 991 7
851 3 6
118 513 8
363 128 10
297 951 10
58 87 6
707 463 1
360 55 3
640 332 6
935 509 9
511 324 10
745 79 5
975 749 6
772 755 9
748 684 1
799 521 6
666 609 6
249 309 8
817 539 4
505 650 5
811 756 8
144 782 7
245 507 4
705 580 2
520 668 1
192 67 9
980 858 6
725 332 3
217 59 10
341 981 10
603 493 8
517 987 4
288 78 2
911 368 10
311 307 9
857 472 10
197 731 7
717 875 3
813 560 3
961 46 4
906 170 7
427 397 1
337 270 5
254 659 9
75 467 3
340 287 6
813 805 8
254 468 3
114 583 7
356 782 5
977 409 6
177 905 10
254 432 2
418 546 10
553 818 8
996 757 1
949 781 8
82 278 4
704 577 9
276 424 10
274 584 8
452 380 3
187 212 1
409 587 3
18 212 1
395 645 4
949 758 9
601 356 6
390 265 2
634 317 8
938 456 3
884 169 8
846 452 1
855 178 7
102 335 3
590 885 10
503 658 8
156 81 1
631 703 9
960 633 1
293 972 9
446 122 5
607 421 4
385 184 1
760 594 8
262 519 2
531 303 10
55 69 6
652 308 10
739 795 10
145 686 8
322 835 8
879 632 5
697 748 4
561 155 9
784 712 7
81 29 7
447 286 6
256 122 7
579 410 3
928 340 1
648 159 10
314 939 6
126 877 10
535 135 5
325 47 9
348 122 9
764 653 6
982 131 2
954 538 2
607 729 10
303 205 6
378 432 1
343 526 7
628 546 5
585 507 7
497 177 3
377 475 1
740 862 10
602 686 1
887 618 10
400 912 10
390 704 6
24 860 5
634 554 4
748 63 7
514 382 4
281 819 4
229 850 10
151 549 1
665 91 10
967 228 8
197 740 1
950 635 5
570 314 10
400 622 8
68 4 10
782 208 4
770 110 10
28 567 5
488 844 10
152 974 1
575 984 4
29 761 2
915 76 7
452 980 8
739 38 2
571 82 5
335 62 8
449 470 4
351 570 7
309 751 2
354 995 7
50 967 5
517 474 3
314 81 3
633 961 2
870 395 6
303 974 4
725 49 4
399 783 2
738 159 1
118 915 1
870 187 8
631 229 3
731 97 8
849 260 8
387 857 4
197 128 2
617 23 1
538 518 9
449 587 8
511 452 9
312 667 3
823 556 7
724 116 6
444 649 7
919 721 2
400 527 7
464 869 10
133 57 10
644 618 8
948 960 7
294 952 2
222 953 8
897 861 8
741 114 1
626 392 8
205 585 9
457 59 10
813 155 3
264 843 8
489 450 9
121 211 4
891 827 7
799 395 3
684 899 10
768 399 9
217 589 8
503 610 7
501 588 4
490 814 6
285 329 2
115 364 3
398 342 3
908 613 9
928 845 4
705 762 10
1 645 9
118 992 6
287 8 2
564 443 3
777 460 10
59 764 5
807 979 2
446 709 3
918 493 4
370 497 7
46 773 9
978 984 4
31 427 10
678 948 3
506 296 9
352 379 3
715 757 4
431 601 8
642 703 3
497 769 2
736 160 6
157 713 4
782 834 5
14 296 8
212 879 3
876 305 7
654 573 1
752 623 10
68 391 3
411 470 4
793 707 7
215 598 7
301 338 8
852 663 8
493 850 4
747 84 5
435 478 9
914 767 2
220 850 7
303 246 10
707 322 10
903 56 2
446 679 2
518 838 3
763 838 1
662 42 5
114 242 4
197 3 6
334 245 10
160 683 3
981 243 3
136 791 1
599 442 1
629 249 5
882 195 7
867 762 5
721 318 1
859 587 9
602 120 2
242 188 2
687 188 8
315 535 1
183 554 3
711 510 4
76 599 9
516 590 6
460 399 9
200 832 9
702 315 6
886 469 5
679 120 1
615 398 1
203 492 4
559 813 7
923 655 8
415 733 4
224 25 6
9 726 1
887 617 10
587 23 4
374 92 4
842 245 4
653 468 4
424 870 9
401 338 7
479 788 1
282 328 3
84 707 3
64 686 7
504 797 4
170 120 8
697 340 2
532 290 2
986 283 9
210 803 4
267 146 10
932 718 4
830 270 5
775 760 7
222 19 1
541 371 1
610 764 6
352 524 1
730 975 1
862 712 3
990 657 4
720 485 2
710 335 8
223 319 6
500 831 5
293 113 1
621 322 7
76 963 7
801 101 4
942 786 9
963 936 9
619 625 4
784 664 5
951 661 10
944 787 4
62 997 6
609 740 5
971 86 9
223 122 1
85 883 4
722 300 4
806 706 7
533 515 10
236 429 1
193 225 10
617 763 4
408 733 10
637 228 3
468 901 2
708 755 2
259 958 9
355 512 9
284 409 6
675 425 3
129 520 2
495 863 8
876 672 5
417 813 8
559 49 5
40 981 7
782 37 9
282 220 4
831 413 1
168 432 8
176 24 9
1 444 8
794 379 1
905 697 4
807 888 6
84 30 8
334 216 8
201 29 1
38 987 4
888 332 3
281 393 10
410 84 9
691 864 9
771 443 6
317 885 3
479 854 2
711 660 9
924 142 1
320 158 3
118 971 6
421 869 9
417 47 1
158 139 1
43 672 10
787 195 1
597 730 9
222 497 9
508 418 5
530 92 4
784 403 1
285 970 3
20 399 1
101 147 4
69 940 1
699 656 6
420 675 5
641 733 5
354 868 6
436 832 4
553 613 2
105 48 7
33 209 6
44 24 10
588 648 2
690 411 2
625 63 9
406 631 3
163 804 6
392 609 8
173 629 9
109 555 4
874 668 9
301 193 5
590 113 10
191 116 7
482 286 2
128 319 4
234 813 2
190 373 3
702 88 2
996 382 6
343 941 4
455 933 5
204 823 5
966 580 10
572 16 9
645 98 3
485 362 4
913 864 3
324 703 4
200 819 3
584 358 8
913 854 9
572 640 7
620 418 5
321 895 6
946 696 8
113 246 2
2 93 9
226 53 1
54 607 9
29 327 10
925 934 8
821 402 8
520 944 1
965 685 1
650 113 2
476 931 10
731 389 4
863 792 1
779 256 8
959 431 7
603 722 9
536 354 9
378 189 7
750 494 10
620 804 7
474 340 2
838 514 5
148 204 6
480 497 1
377 421 6
792 82 8
741 815 8
366 600 9
982 992 5
709 545 7
792 460 4
789 464 9
590 777 1
290 76 3
142 567 1
120 482 8
427 152 3
575 439 7
259 715 7
957 965 9
534 470 9
12 99 4
788 556 3
124 638 7
953 324 5
807 776 4
87 508 4
85 687 9
480 626 8
548 91 8
414 950 9
644 906 7
779 499 5
518 119 3
951 912 4
854 750 5
424 759 9
220 925 9
696 896 2
288 631 1
908 271 8
601 754 7
748 162 10
793 82 4
116 63 4
426 548 7
251 450 10
679 167 3
609 833 10
80 28 8
324 349 9
857 276 8
654 541 5
387 698 7
602 88 4
695 80 4
790 52 7
420 501 6
976 837 1
116 536 8
936 959 5
326 742 8
204 403 3
215 427 10
407 347 5
9 806 1
559 997 4
714 729 6
124 262 2
877 82 6
180 492 2
751 780 3
765 265 10
852 582 6
982 235 7
782 839 10
135 213 8
545 500 7
508 802 9
170 788 6
968 978 1
735 414 8
88 506 6
498 720 5
195 186 5
464 112 2
908 719 3
164 356 2
47 950 1
342 603 10
363 850 3
403 451 6
980 647 7
39 793 7
50 392 9
379 225 8
104 842 6
764 890 10
557 874 6
723 203 8
333 558 7
985 30 1
457 947 2
548 987 9
532 247 9
326 118 5
163 462 1
743 505 2
599 249 2
475 498 3
865 72 2
260 239 3
626 139 5
891 172 8
509 371 6
898 981 6
17 577 8
193 797 2
683 930 6
64 611 9
771 904 1
243 688 2
831 330 1
566 840 8
956 613 4
808 483 5
874 643 7
730 613 9
268 674 5
478 765 4
138 129 4
388 652 8
774 476 6
818 263 1
561 811 2
799 649 1
621 529 2
940 915 10
405 370 9
649 977 10
475 349 7
241 423 2
162 257 8
316 276 9
306 420 2
966 349 2
878 202 4
921 443 7
819 664 8
378 811 8
659 740 2
775 921 6
6 647 5
802 181 3
496 348 4
919 487 1
866 976 3
220 366 6
843 740 7
802 912 2
433 168 4
995 473 10
459 299 7
825 456 2
947 267 6
123 918 10
24 294 3
474 97 7
81 748 8
399 158 7
233 170 7
597 69 7
655 533 5
113 141 5
856 523 2
692 860 9
695 818 4
203 836 8
765 583 4
168 100 3
584 568 10
536 964 3
683 903 9
324 17 1
28 280 10
919 516 6
547 990 9
177 16 1
918 409 2
853 166 4
702 111 10
264 83 9
368 841 1
352 990 9
220 406 4
812 469 5
978 933 9
12 696 5
510 794 8
799 548 6
867 810 4
53 429 8
392 520 3
459 378 10
794 661 8
498 703 2
175 400 4
261 907 2
533 409 8
551 759 8
716 375 5
694 456 2
589 693 10
17 52 5
933 831 8
257 498 3
399 711 10
517 317 9
593 219 7
279 540 5
377 670 6
737 204 3
843 135 4
521 496 6
208 833 9
253 142 7
383 425 2
480 552 9
607 23 6
440 340 5
415 337 4
682 676 10
549 446 5
496 955 1
400 359 10
254 705 10
574 928 2
707 632 7
329 655 8
513 572 2
10 593 8
510 107 5
67 769 4
944 143 9
225 753 8
926 620 3
724 95 9
396 574 9
690 712 8
171 255 6
716 770 3
216 630 7
977 44 6
870 545 5
859 969 4
481 863 8
833 838 8
695 838 1
844 268 4
261 267 3
618 281 8
248 709 3
168 839 10
951 553 2
317 233 2
292 955 10
971 632 3
704 651 9
281 570 3
762 847 5
913 284 8
690 146 10
260 870 4
126 439 6
148 117 10
979 655 6
344 388 2
654 536 2
650 666 4
178 133 4
120 375 8
518 920 8
907 128 9
18 40 1
109 536 2
366 398 5
232 187 2
971 527 7
994 832 6
179 903 3
46 3 10
693 959 9
797 370 3
128 462 6
874 250 7
442 755 8
690 564 6
189 554 4
417 742 3
621 115 1
377 126 4
611 951 3
288 432 1
1000 888 6
175 442 6
492 70 4
168 843 1
323 997 2
667 605 9
362 74 2
316 324 4
456 17 3
4 304 10
577 63 2
13 924 7
231 248 6
701 436 1
52 635 6
562 440 8
285 8 6
453 112 7
453 881 4
926 841 8
74 850 4
732 187 2
290 888 3
768 902 4
911 743 1
473 292 9
504 180 5
198 942 1
268 899 8
789 69 5
962 852 9
30 105 10
543 752 4
897 528 4
92 928 5
646 447 2
49 189 3
221 287 10
554 960 9
779 714 2
208 312 9
227 748 6
22 930 9
577 551 5
456 409 2
938 24 2
658 534 3
219 842 10
268 365 8
549 345 6
537 806 1
646 79 8
37 494 2
183 814 6
290 984 1
627 641 1
209 296 7
953 209 4
887 80 9
479 84 9
768 753 7
841 830 8
253 104 1
758 253 5
83 849 4
189 146 6
722 985 10
885 980 4
840 813 3
400 572 1
152 952 6
475 995 8
322 783 6
274 672 6
741 339 8
28 518 1
178 944 8
270 646 7
87 407 2
740 160 6
313 186 5
66 561 2
243 751 5
54 841 7
754 255 10
337 205 10
259 270 8
433 497 6
682 610 2
720 795 5
941 646 4
410 681 9
425 387 6
551 278 4
980 157 6
530 503 5
947 922 9
507 4 10
989 78 5
528 319 2
518 474 10
288 455 6
686 840 3
705 415 9
907 584 1
106 417 10
858 309 5
434 725 3
587 121 9
592 750 2
180 799 2
718 338 1
408 241 8
712 890 7
12 120 5
257 104 5
945 415 8
811 652 3
988 704 10
813 419 10
880 47 3
152 451 4
716 126 3
282 592 10
598 84 9
965 489 5
360 154 4
256 50 7
439 569 1
650 133 1
273 924 4
186 337 5
494 687 10
810 421 5
950 931 8
175 112 4
84 687 6
650 826 7
582 48 8
15 202 3
640 538 4
882 248 8
366 935 1
692 291 6
696 532 10
308 515 3
942 972 7
904 401 6
785 325 9
951 434 1
324 138 9
184 490 2
555 901 1
556 559 4
669 647 2
164 987 9
808 852 8
783 32 9
643 950 6
599 987 8
990 285 4
357 306 10
801 103 10
209 676 1
413 845 5
672 313 9
305 153 2
218 766 6
489 406 5
444 313 6
798 508 2
603 238 10
867 506 5
922 729 2
212 907 4
577 736 7
342 967 10
496 599 5
594 966 2
842 253 10
417 247 6
787 360 1
312 2 1
672 96 9
155 819 1
138 19 3
735 303 8
128 738 1
721 644 1
180 434 3
507 31 8
297 586 8
115 289 6
814 899 6
231 812 3
1 568 1
152 367 4
496 952 9
895 140 1
451 762 5
411 18 10
267 326 5
496 241 2
876 655 2
962 889 8
465 357 5
550 178 3
562 992 4
90 251 2
441 215 2
461 644 3
987 617 4
563 607 8
829 483 7
246 111 1
644 994 1
947 800 4
938 405 6
683 608 1
600 465 7
322 786 9
773 392 2
956 36 9
973 927 9
399 435 2
193 621 9
875 108 7
246 10 7
12 105 1
631 456 3
256 310 1
833 536 1
618 11 4
420 204 1
583 824 7
991 747 1
718 844 5
771 669 8
968 708 10
904 840 6
589 762 1
456 354 10
916 664 8
981 603 2
132 660 5
106 260 10
746 944 5
34 440 9
429 331 1
116 710 4
243 326 3
162 364 5
959 924 3
94 835 7
832 275 7
896 677 5
368 612 8
452 378 7
711 176 3
635 947 7
329 2 2
607 178 6
481 512 9
39 342 6
558 421 9
867 42 7
32 454 10
822 452 6
912 444 6
513 901 2
660 147 3
805 215 7
43 741 8
593 387 5
292 294 6
333 485 8
329 926 6
134 100 2
537 740 3
571 33 8
204 179 10
390 987 5
424 452 1
194 251 4
219 717 5
908 920 8
567 59 1
539 227 9
566 612 2
641 893 1
843 111 4
688 957 9
936 763 1
50 73 2
347 739 7
388 797 7
532 533 3
105 275 7
611 21 6
311 587 6
869 326 10
992 835 3
3 365 3
178 439 10
866 458 6
920 669 5
718 918 8
878 789 5
393 903 10
751 95 2
625 353 10
77 368 8
484 734 8
871 448 9
654 79 8
37 824 7
782 6 6
895 433 7
775 8 5
79 311 8
327 83 5
32 110 10
805 105 10
758 187 6
631 466 3
25 340 5
928 485 10
590 873 6
920 532 7
314 893 6
942 732 7
670 158 3
909 550 9
142 673 5
536 367 9
775 639 2
474 464 5
731 750 5
563 177 3
61 617 6
884 35 4
963 912 1
689 798 4
75 71 4
465 563 6
460 929 5
83 721 5
369 790 7
622 432 1
175 990 8
193 378 10
462 334 10
540 943 6
887 158 6
585 994 3
453 563 4
64 309 8
429 706 8
364 854 3
542 522 8
107 142 1
726 640 10
540 411 2
287 18 4
542 978 1
704 237 2
721 42 5
35 822 8
601 824 7
158 901 9
659 725 5
902 704 6
429 81 1
635 547 7
802 320 6
379 384 8
367 659 9
820 837 3
607 991 1
70 566 8
319 972 7
549 696 5
63 44 6
62 806 6
7 275 7
331 128 9
462 760 4
249 570 4
443 49 9
309 530 9
719 899 1
848 954 9
473 481 8
80 603 1
914 223 4
370 879 6
182 210 6
643 747 7
251 552 9
670 278 3
256 383 1
442 758 9
588 262 6
936 231 6
7 869 1
188 726 2
43 425 8
10 266 3
953 140 4
998 53 4
931 363 9
604 760 3
519 459 6
116 389 4
534 239 3
515 440 5
437 666 9
574 892 5
10 207 3
616 297 9
854 504 6
298 659 6
398 790 3
549 852 3
757 40 10
149 886 5
988 764 9
519 296 7
60 571 9
821 874 8
497 362 5
203 333 7
455 965 7
693 581 2
289 818 6
358 712 1
455 369 10
780 738 7
947 566 3
418 744 8
504 189 4
854 31 1
806 297 10
715 541 9
283 793 9
540 269 10
806 965 5
538 710 4
761 332 1
491 398 5
124 807 2
113 870 3
338 51 4
535 644 2
472 161 3
386 409 1
822 793 8
877 533 7
678 733 8
201 162 8
330 104 9
654 77 8
881 807 5
254 725 10
435 152 3
978 146 2
54 852 6
501 339 3
74 801 8
822 853 5
472 654 4
67 532 7
642 593 6
90 968 1
670 988 10
78 857 4
989 809 2
376 489 2
217 555 3
589 25 6
867 174 3
510 363 5
325 546 4
178 74 2
96 835 8
973 274 6
709 437 5
218 887 2
302 892 3
400 481 4
189 409 5
329 96 8
24 552 6
321 413 2
725 304 1
705 509 1
78 73 5
731 934 3
127 5 8
448 69 10
293 220 10
207 659 2
948 733 4
99 288 8
263 526 5
344 372 4
762 463 2
248 210 5
295 782 3
998 312 1
166 481 2
280 859 4
373 465 1
357 294 4
103 534 8
121 349 6
710 915 7
696 651 7
774 251 5
333 902 4
84 515 6
502 397 9
545 915 7
627 203 8
269 242 7
658 449 3
669 612 5
701 863 6
652 203 8
969 741 3
626 176 3
578 703 5
901 242 8
458 214 2
444 973 1
834 163 2
333 390 1
977 74 2
188 917 7
938 204 7
992 971 3
173 903 6
781 302 10
623 396 7
191 521 8
723 331 9
110 472 1
275 473 4
108 272 6
138 508 9
951 682 8
158 532 7
997 967 6
591 728 9
772 771 1
119 562 10
370 285 8
917 510 9
590 919 5
582 492 2
184 781 10
182 703 10
814 587 6
489 407 10
955 596 4
631 748 7
239 422 8
713 581 2
400 445 7
389 877 7
656 530 3
444 406 2
177 666 9
326 20 7
284 794 10
869 955 10
613 291 6
842 745 8
689 686 10
4 115 7
408 492 4
815 402 10
327 52 1
274 56 7
309 506 2
902 306 2
430 537 4
455 56 6
306 531 6
92 209 1
948 227 10
141 112 4
629 215 6
90 74 7
881 927 6
925 608 8
53 490 2
704 363 1
284 226 7
233 164 6
586 192 10
740 614 2
109 709 9
677 72 3
611 602 1
304 587 9
312 357 1
395 370 4
753 422 10
684 641 1
849 47 8
358 676 3
261 905 6
230 879 3
481 950 2
939 47 3
271 955 10
87 381 7
671 886 9
404 630 6
204 136 6
873 163 1
28 785 7
397 98 3
481 730 3
498 16 2
959 520 1
845 916 7
213 161 8
735 480 7
124 461 5
106 704 2
911 909 2
831 657 8
709 119 10
28 927 7
520 353 10
445 566 10
459 335 2
732 305 2
88 712 3
839 373 3
577 732 10
281 755 4
122 918 6
902 648 8
521 509 7
64 93 4
72 291 1
718 956 7
405 219 5
94 49 2
178 922 9
578 512 8
503 372 1
804 69 8
200 240 7
268 70 6
332 614 7
231 862 9
551 802 10
645 668 9
163 508 4
989 819 1
218 223 1
482 109 2
668 996 9
700 718 6
296 633 2
340 380 8
326 574 5
164 737 10
841 426 5
56 353 2
131 75 3
73 448 9
548 758 8
295 981 5
863 888 8
557 231 5
27 39 1
139 254 2
882 562 5
20 721 4
534 520 10
6 351 10
542 730 7
449 17 3
610 274 10
377 829 10
526 577 2
702 928 3
980 17 7
339 358 8
477 15 5
90 8 9
935 177 9
986 371 2
801 102 10
404 931 8
53 737 7
751 443 7
902 880 2
654 352 4
964 159 4
693 387 10
883 252 3
398 183 2
49 994 7
31 298 2
775 158 1
890 193 1
134 760 10
803 216 7
691 312 4
815 459 6
993 805 5
293 210 5
389 491 8
13 179 5
407 651 7
860 232 4
198 717 9
414 43 8
699 177 8
346 267 1
634 229 1
201 112 8
33 556 8
336 61 2
583 796 2
621 784 7
634 191 1
636 175 2
53 696 8
946 472 10
976 153 8
437 832 2
777 749 1
832 661 4
754 589 8
789 172 7
718 247 8
209 2 5
506 848 8
407 383 4
674 790 7
805 459 2
869 820 3
901 967 4
690 377 2
317 433 2
879 224 10
346 954 8
214 224 8
544 52 10
491 349 1
450 643 7
253 972 4
541 366 7
465 375 9
89 857 9
958 388 4
561 475 7
488 233 3
266 280 9
71 370 2
686 875 8
838 590 7
905 886 10
224 159 1
786 504 5
877 313 9
237 139 4
219 490 8
373 515 3
331 925 3
336 154 3
877 216 5
651 753 2
415 974 5
55 114 9
712 121 3
665 587 9
916 478 1
387 522 1
554 769 9
866 817 9
247 576 8
296 960 3
896 494 8
517 304 6
473 588 3
214 43 7
96 374 10
702 91 7
833 661 3
378 938 8
580 526 9
95 526 5
570 225 9
992 842 2
753 514 6
82 450 7
26 947 8
728 362 8
81 227 8
930 875 7
492 430 2
370 977 1
225 943 5
969 99 7
352 129 2
422 778 9
10 820 2
855 393 9
460 868 7
285 800 10
140 815 10
184 865 5
841 952 6
138 249 4
361 494 3
184 256 4
781 588 4
955 169 6
402 499 6
212 343 6
54 496 4
350 123 6
385 439 6
409 891 5
532 584 9
888 18 2
834 363 4
438 238 5
129 544 3
741 186 4
682 461 4
390 371 6
239 893 1
225 116 10
355 188 10
806 88 3
252 105 6
13 261 5
995 583 9
907 134 8
242 475 6
430 759 2
353 653 8
73 697 4
934 535 5
873 745 7
74 269 6
739 996 5
929 885 1
770 15 7
577 520 3
560 898 10
289 413 5
582 419 4
296 851 4
267 465 9
352 281 10
191 363 3
747 65 10
315 736 8
800 797 8
371 70 8
612 325 5
707 872 2
906 822 9
78 681 1
949 16 6
623 266 9
982 878 9
572 502 4
983 131 4
4 664 8
332 549 3
153 740 1
768 311 6
361 890 10
428 413 9
321 637 10
409 377 3
560 620 3
963 390 2
986 400 7
662 378 8
602 694 4
120 879 9
667 147 8
856 279 1
250 419 4
594 390 6
646 852 2
393 824 5
910 671 9
609 13 6
785 834 5
783 887 10
564 583 7
738 566 9
112 131 6
585 986 6
808 66 9
815 276 1
197 68 5
377 351 9
36 230 2
297 445 6
778 466 7
985 835 7
703 95 3
32 712 6
908 80 3
6 143 10
290 558 3
165 67 1
316 612 1
794 141 5
821 947 4
448 338 7
373 265 10
934 585 4
931 199 7
990 940 2
391 214 8
555 802 9
590 543 3
409 693 1
422 165 7
932 207 4
746 997 6
268 748 5
418 580 2
583 914 2
482 985 7
24 501 3
298 937 10
799 144 4
505 490 4
157 966 8
912 874 10
60 6 2
4 807 7
458 598 5
105 4 5
179 377 3
95 361 8
258 130 6
393 748 5
256 729 1
652 427 5
840 126 3
16 50 8
603 709 3
14 36 10
361 333 5
161 185 8
458 132 6
518 903 6
78 882 4
369 147 1
835 9 8
764 125 8
862 657 4
359 515 10
748 677 1
751 608 4
168 346 2
782 969 6
796 705 1
566 940 3
521 578 2
897 465 9
804 514 1
748 427 1
752 843 7
333 54 4
201 335 10
962 588 5
386 689 7
758 132 10
105 310 1
951 929 2
667 119 4
205 236 6
398 314 4
20 277 2
650 324 6
403 420 4
489 630 10
650 649 1
90 633 6
722 67 2
591 477 7
841 97 8
694 716 4
920 632 1
433 241 8
262 861 1
593 129 4
732 812 8
412 823 2
675 566 7
399 640 3
224 694 7
608 280 5
413 944 5
205 916 4
850 85 7
509 568 10
769 105 3
505 861 4
27 447 10
862 238 6
344 778 3
248 961 9
79 154 2
681 173 6
605 348 5
547 177 5
135 81 8
674 79 6
821 408 5
288 29 3
371 33 3
276 152 8
346 400 3
130 57 4
936 126 4
901 855 10
855 527 6
